"ID","Q10","rPC1","rPC2","rPC3","rPC4","rPC5","rPC6","rPC7"
"SG_13",2.42831268686816,-1.08850792630165,-0.330453101379144,0.124524889080341,-0.896791411526027,-0.419656574741895,-0.176299763901415,5.58262303605715
"SG_14",2.35451333552088,-1.05506193253753,0.0626054234158779,0.472307536385643,-0.720466624760322,-0.0513359435730705,-0.236717570047308,5.46197083875095
"SG_15",2.27955922030457,0.337917151114992,-1.02162026283989,-0.534231836745574,-1.60954737387164,-1.06419510368035,-2.05203285051529,-0.596800816069256
"SG_16",1.93316451703524,-0.620345289808255,-1.36478460768659,-0.129775434096695,-0.0297980588441761,1.68645432818871,-0.0922224016222983,-0.219472571368901
"SG_17",2.29111079517105,-1.62767074708071,-0.913156568643393,-0.712598621120049,0.354612671865163,0.822051734504768,-0.231352556976472,0.487476399614222
"SG_18",2.15046806713219,-1.55773864441111,-1.06654831636871,-0.660137223934056,-0.542535812752901,0.36552712915796,-0.744975810329568,-0.365969362126609
"SG_19",2.26100177605309,-1.86459336191608,-0.68379296532049,-0.0971075524806153,0.50091468842795,1.73046517468255,-0.62234109785756,0.104377704888825
"SG_2",2.43525139090874,-1.40815932537699,0.0432444933673063,-0.127181975817416,-0.894744964953782,0.698700378712562,-0.976334248954226,-0.131334074092048
"SG_20",2.40598131354255,-1.83184049217548,-1.07573864023802,0.14604633167014,0.216320317866892,0.715338824062156,-0.219027804452326,-0.00413393497261511
"SG_21",2.40125522745494,-0.366054172724805,-0.798544981654628,0.263587963341494,0.104826065014267,-1.56095510250357,-0.669887394851695,-0.410864861699845
"SG_22",2.32255812893627,-0.140537762667695,-0.756565851640323,-0.0780919924817537,-0.265308492801115,-0.124719370806753,-0.172833791740346,-0.311716251083455
"SG_23",2.39620522058159,-0.721097029605607,-0.359792579021127,5.27415089188438,0.0517996183690422,-1.46198521759985,0.0685958361398064,-0.194472158897826
"SG_24",2.283696746913,-0.711575854427995,-0.994036772498379,1.88954477275149,-0.0485246411086648,-2.66913562918302,-0.125971893665383,-0.918144281701139
"SG_25",2.24068495115615,-0.589529871669964,-0.565192921029239,6.60283253734207,-0.600124516898841,0.0523715007295814,0.0759919555889727,-0.29180933664953
"SG_26",2.12297216545183,-1.72800201793366,-1.31491397728541,-0.108791231167431,-0.835349589771265,-2.19002814103532,-0.197605786555812,-0.892719560167664
"SG_27",2.1368797740249,-0.527760792402867,-0.287738610566014,4.09220475890875,-2.07976979556055,1.65415884529799,0.483498571350599,-1.00782139422336
"SG_3",2.38757500202605,-0.773366417886317,-0.384184863327474,-0.556785952602329,-1.37094592623536,-0.539705323536171,-0.226118287809156,-0.608181327357294
"SG_4",2.22705417127338,-1.59918781634943,-0.628682223054868,-1.05828634026315,-1.35709355788899,0.300096752547645,-0.161516361086583,-0.107557651205409
"SG_5",2.20652302233202,-1.47992393689053,-0.294829018840465,-0.673607302011316,-1.0519327327894,0.989100042636483,-0.466637696899551,-0.126942884607522
"SG_6",2.42981430256495,-1.16280389732749,-0.40683321861985,-0.793337822155091,-0.887832591396998,0.232274958249616,-0.784268188701054,-0.846546673036645
"SG_7",2.50856114402774,-1.0365167756721,0.329879976592373,0.47519377125117,-0.840115549538119,-0.0404940549680087,-0.352772217656386,-0.280207261253748
"SG_8",2.17365188342957,-0.824352598421668,0.89933536544222,-0.367708633637233,0.476185003086683,-0.73074745859289,-0.695230985176836,0.33712431784571
"SG_9",2.37065935606358,-1.30625998395878,0.353551690628417,-0.115185436774034,-0.426908808307496,1.67228262726587,-0.722223878419607,0.0678087980278868
"SM_1",2.22349002426,-1.16110611677779,1.06711506399051,-0.701508789759706,0.669332999767013,0.122171600408611,-0.157963297243706,-0.517816737178393
"SM_10",2.75052083217833,1.19587725174924,0.255808444003938,-0.490356639920015,-0.293786130453442,0.0194492727711797,0.277034482078425,-0.103040534822691
"SM_11",3.2227123489824,0.189919030563567,0.105369622542582,-0.932921289093716,-1.35704775795951,-0.425749871992921,1.3532966841385,-0.700256885004359
"SM_12",2.35426359061294,-0.308929997402445,0.570795024193609,-0.891345746117529,-0.0721485002573546,-0.244688240361488,-0.0266234047996255,-0.306916304794492
"SM_13",2.32610638168038,-0.789470231633825,0.214440909061335,-0.352430238163819,-0.441690182484748,-0.75011853469337,-0.531033058670933,0.214897743744108
"SM_14",2.20792365235468,-0.764344236586506,0.815088948477311,-0.235884149949966,-0.870845509670677,-0.0042326683523775,0.0252816473606388,-0.38645945008349
"SM_15",2.01547320089965,-0.77231727672049,0.811055120934127,-0.266733574746393,-0.0865724937555486,-0.619264424509635,0.495277928990163,-0.252797189938169
"SM_16",2.79241052051771,-0.594113955130502,0.0691376047645075,-0.355454742246794,-0.383056756913428,-1.00870118187938,0.125280005515004,-0.545969429710026
"SM_2",3.06563686561206,-0.671299131565117,1.60054297481888,-0.600887462662073,1.65391688050193,-0.865214240495128,-0.159964895064284,-0.161198721460488
